claim_id,policy_number,line_of_business,accident_date,report_date,accident_year,claim_status,region,incurred_loss,paid_loss,case_reserve,ibnr_estimate,settlement_months
CLM-0027,POL-34356,Professional Liability,2020-04-27,2020-04-29,2020,Reopened,Southwest,253910.94,223994.12,12271.97,48078.17,8
CLM-0028,POL-91183,Professional Liability,2023-05-03,2023-05-06,2023,Reopened,Southeast,204868.9,195296.79,6688.73,29367.03,5
CLM-0029,POL-44814,Auto Liability,2022-05-08,2022-05-30,2022,Reopened,West,263777.44,249999.03,6103.58,36093.4,18
CLM-0030,POL-83792,Professional Liability,2020-09-25,2020-10-17,2020,Reopened,Midwest,231326.16,218190.23,12545.0,1456.46,42
CLM-0031,POL-47353,Commercial Property,2020-05-30,2020-06-17,2020,Open,West,136274.21,128998.19,6669.24,44084.24,26
CLM-0032,POL-49240,Professional Liability,2022-06-16,2022-07-13,2022,Reopened,Midwest,307780.49,304636.96,2382.11,1383.33,38
CLM-0033,POL-89276,Commercial Property,2024-12-03,2024-12-08,2024,Closed,Northeast,445407.79,353624.1,0.0,777.24,21
CLM-0034,POL-65518,General Liability,2024-01-09,2024-01-20,2024,Open,Midwest,255177.48,102299.89,143049.29,3489.15,43
CLM-0035,POL-66057,Auto Physical Damage,2020-03-31,2020-04-01,2020,Closed,Southeast,320371.12,131212.54,0.0,3706.15,38
CLM-0036,POL-15482,General Liability,2020-01-20,2020-01-24,2020,Open,Southeast,275067.19,238669.2,25760.92,8256.6,11
CLM-0037,POL-91351,Commercial Property,2022-01-16,2022-02-14,2022,Open,Midwest,108987.89,43554.15,24338.44,39225.7,29
CLM-0038,POL-97806,Commercial Property,2021-04-29,2021-05-27,2021,Open,Southeast,441301.02,97010.8,280801.43,17277.09,29
CLM-0039,POL-55830,General Liability,2021-06-30,2021-07-06,2021,Reopened,Northeast,194358.15,44892.78,94085.91,10779.07,32
CLM-0040,POL-56025,Auto Physical Damage,2024-08-07,2024-09-02,2024,Open,Southeast,16713.9,5925.14,5715.71,43353.29,20
CLM-0041,POL-15014,Professional Liability,2022-03-29,2022-04-20,2022,Reopened,Midwest,469922.38,137345.81,325685.73,9749.82,19
CLM-0042,POL-34914,General Liability,2023-05-06,2023-05-20,2023,Closed,Midwest,221014.97,218227.68,0.0,578.23,39
CLM-0043,POL-35825,General Liability,2020-03-31,2020-04-23,2020,Closed,Northeast,262360.57,221749.44,0.0,3434.29,45
CLM-0044,POL-50538,Auto Liability,2022-06-02,2022-06-05,2022,Reopened,Midwest,313461.93,229049.76,32687.58,45102.29,35
CLM-0045,POL-90676,Auto Physical Damage,2021-10-30,2021-11-12,2021,Reopened,Midwest,279434.18,98772.18,138287.84,19578.12,14
CLM-0046,POL-70946,Auto Liability,2021-09-08,2021-09-21,2021,Reopened,Northeast,155418.1,57216.57,83474.36,30726.42,23
CLM-0047,POL-47196,Auto Physical Damage,2022-06-24,2022-07-16,2022,Open,West,239227.16,220314.98,16211.85,9314.88,8
CLM-0048,POL-29313,Professional Liability,2023-09-21,2023-10-12,2023,Reopened,Midwest,51226.66,49259.54,913.55,16210.55,15
CLM-0049,POL-85454,Commercial Property,2020-04-04,2020-04-12,2020,Closed,West,425620.16,109921.76,0.0,2072.21,43
CLM-0050,POL-65724,Commercial Property,2024-01-11,2024-02-03,2024,Closed,Southwest,202828.17,64510.93,0.0,3438.11,9
CLM-0051,POL-70901,Auto Physical Damage,2020-12-26,2021-01-21,2020,Reopened,West,234952.19,151761.41,78384.77,6946.57,11
CLM-0052,POL-68446,Commercial Property,2023-02-18,2023-03-10,2023,Closed,Southwest,308262.9,239032.96,0.0,2523.89,38
CLM-0053,POL-73517,Commercial Property,2024-03-03,2024-03-31,2024,Closed,Southwest,133299.82,53025.57,0.0,3188.31,36
CLM-0054,POL-40311,Auto Liability,2021-07-16,2021-07-31,2021,Open,Midwest,121074.32,56744.87,59512.38,4948.31,12
CLM-0055,POL-65069,Auto Liability,2023-11-22,2023-11-27,2023,Reopened,Southeast,36793.28,19356.19,11854.22,21372.94,16
CLM-0056,POL-49139,Auto Liability,2024-04-25,2024-05-14,2024,Reopened,Northeast,429082.36,348618.97,45563.74,1288.91,25
CLM-0057,POL-73993,Commercial Property,2024-10-13,2024-11-11,2024,Closed,West,375020.26,238852.6,0.0,3016.26,17
CLM-0058,POL-71261,Commercial Property,2021-07-12,2021-07-26,2021,Closed,Northeast,197484.32,145170.51,0.0,3990.71,13
CLM-0059,POL-33819,Professional Liability,2023-06-28,2023-07-16,2023,Open,Southwest,297986.92,217649.59,28822.08,22002.03,32
CLM-0060,POL-65255,General Liability,2021-06-16,2021-06-29,2021,Closed,Southeast,230076.17,108135.9,0.0,4398.2,20
CLM-0061,POL-95215,Professional Liability,2024-09-05,2024-09-08,2024,Closed,Northeast,375767.01,90811.04,0.0,4759.6,17
CLM-0062,POL-72070,Professional Liability,2024-05-18,2024-06-08,2024,Open,Northeast,475057.81,170777.84,95624.85,8466.73,11
CLM-0063,POL-25012,Commercial Property,2023-03-01,2023-03-08,2023,Closed,Midwest,384614.56,128550.23,0.0,3036.24,48
CLM-0064,POL-35995,Professional Liability,2021-09-29,2021-10-03,2021,Reopened,Northeast,464799.15,307063.69,147580.18,19390.04,48
CLM-0065,POL-84177,Professional Liability,2023-04-27,2023-05-20,2023,Reopened,Southeast,55441.15,45350.01,9033.64,30420.17,10
CLM-0066,POL-74251,Professional Liability,2021-12-12,2021-12-30,2021,Closed,Midwest,39133.58,28099.26,0.0,63.26,29
CLM-0067,POL-90728,Auto Physical Damage,2022-06-06,2022-06-18,2022,Reopened,Southwest,355117.78,194742.94,130490.07,48308.21,20
CLM-0068,POL-21359,General Liability,2024-05-05,2024-05-21,2024,Closed,Southwest,413738.63,278851.44,0.0,1611.52,18
CLM-0069,POL-33834,Auto Liability,2022-07-12,2022-07-20,2022,Closed,West,307114.19,154537.23,0.0,143.5,23
CLM-0070,POL-11330,Auto Physical Damage,2021-03-10,2021-03-22,2021,Closed,Midwest,143430.95,97091.85,0.0,4400.54,38
CLM-0071,POL-68743,Professional Liability,2021-01-26,2021-01-29,2021,Open,Southwest,246846.03,199089.15,37414.01,32649.24,34
CLM-0072,POL-55056,Auto Liability,2020-07-09,2020-07-19,2020,Open,Southwest,347434.64,154596.19,136353.93,24189.76,36
CLM-0073,POL-35242,General Liability,2024-03-07,2024-03-25,2024,Closed,Midwest,352913.2,147070.63,0.0,1257.02,10
CLM-0074,POL-88222,General Liability,2020-09-01,2020-09-25,2020,Reopened,Southeast,99812.78,78940.3,10301.61,29889.76,36
CLM-0075,POL-15965,Professional Liability,2020-07-24,2020-08-20,2020,Open,Midwest,117604.17,40403.29,23924.85,27172.62,20
CLM-0076,POL-71524,Auto Liability,2023-02-07,2023-02-17,2023,Reopened,Southeast,320745.48,257312.85,23584.97,1601.0,21
CLM-0077,POL-19710,Auto Physical Damage,2022-06-21,2022-07-02,2022,Open,Northeast,129976.8,115598.55,5461.74,4201.83,34
CLM-0078,POL-83147,Auto Liability,2023-07-13,2023-08-04,2023,Open,Southeast,78852.8,51275.74,14138.34,49701.99,10
CLM-0079,POL-66207,General Liability,2023-05-26,2023-06-15,2023,Reopened,Southeast,388968.3,196157.66,180461.71,15570.3,40
CLM-0080,POL-96563,Professional Liability,2023-03-10,2023-03-30,2023,Open,West,480253.84,134176.61,288599.33,31650.24,19
CLM-0081,POL-14278,Commercial Property,2020-11-17,2020-11-25,2020,Open,West,42157.11,8521.66,20697.66,30096.75,21
CLM-0082,POL-87304,Commercial Property,2021-08-13,2021-09-05,2021,Closed,Southwest,40233.98,15560.05,0.0,1322.77,43
CLM-0083,POL-50319,Auto Physical Damage,2022-05-20,2022-05-24,2022,Reopened,Southeast,325579.19,301723.73,20960.4,4499.08,13
CLM-0084,POL-75597,Auto Physical Damage,2024-03-13,2024-04-09,2024,Reopened,Midwest,222380.96,127859.8,48476.48,20722.92,20
CLM-0085,POL-40005,Auto Physical Damage,2022-10-08,2022-10-23,2022,Open,West,24731.09,13493.85,5906.58,13268.03,8
CLM-0086,POL-46458,Commercial Property,2023-04-17,2023-04-18,2023,Reopened,Midwest,290242.26,235237.64,23246.8,26429.23,31
CLM-0087,POL-31079,General Liability,2023-04-13,2023-04-27,2023,Reopened,Southwest,484682.34,279181.06,120391.62,16731.85,9
CLM-0088,POL-69614,Professional Liability,2022-04-23,2022-05-16,2022,Closed,Midwest,332978.85,173269.48,0.0,3802.5,5
CLM-0089,POL-96200,Auto Physical Damage,2021-10-06,2021-10-15,2021,Closed,Northeast,485241.44,253946.28,0.0,2572.98,3
CLM-0090,POL-36680,General Liability,2022-08-04,2022-08-18,2022,Open,Southeast,261627.5,182644.01,51255.95,22660.01,6
CLM-0091,POL-89806,Commercial Property,2023-01-29,2023-02-03,2023,Closed,Southwest,441019.08,259217.54,0.0,144.35,43
CLM-0092,POL-70482,Professional Liability,2023-12-24,2023-12-30,2023,Closed,West,11768.86,6195.04,0.0,1123.5,10
CLM-0093,POL-71894,Commercial Property,2023-08-19,2023-09-15,2023,Open,Southwest,466663.26,202293.51,209853.57,21359.03,33
CLM-0094,POL-46208,Auto Liability,2022-07-24,2022-08-11,2022,Open,Southwest,99352.13,67509.98,26187.14,7688.91,7
CLM-0095,POL-74178,Commercial Property,2021-11-27,2021-12-27,2021,Reopened,Midwest,411171.99,175270.77,120071.15,29759.95,45
CLM-0096,POL-34727,Commercial Property,2022-07-03,2022-07-21,2022,Closed,Midwest,169557.78,137392.35,0.0,1886.05,23
CLM-0097,POL-96991,Commercial Property,2023-03-17,2023-03-30,2023,Open,Southwest,26605.41,21171.63,4312.57,40759.04,27
CLM-0098,POL-78937,Auto Liability,2022-10-11,2022-10-13,2022,Open,West,482850.03,224812.93,95539.58,42406.93,9
CLM-0099,POL-54375,Auto Physical Damage,2020-02-01,2020-02-25,2020,Open,Southwest,436111.82,425630.06,3693.56,39294.74,19
CLM-0100,POL-92155,Auto Liability,2023-11-19,2023-12-02,2023,Reopened,Northeast,426623.82,376228.06,45433.77,19620.46,23
